Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6
69,56,112,-83,-95,-79
68,57,113,-82,-96,-78
69,56,93,-83,-95,-98
68,55,94,-103,-75,-97
67,56,95,-83,-74,-96
66,55,94,-63,-54,-95
67,54,93,-43,-34,-94
68,55,94,-44,-33,-93
69,56,93,-24,-13,-92
68,36,94,-4,-14,-91
88,56,95,-5,-13,-90
87,55,94,-6,-12,-70
67,35,95,-7,-32,-71
66,34,115,-8,-52,-91
86,33,114,-9,-53,-111
66,53,115,-10,-73,-91
65,52,95,-30,-53,-71
64,51,96,-50,-33,-51
63,71,76,-49,-13,-71
62,51,77,-29,7,-91
61,52,76,-9,8,-111
62,53,77,11,9,-91
82,33,97,31,-11,-90
81,34,96,32,-31,-89
61,14,97,33,-51,-88
62,15,96,13,-71,-68
42,35,97,-7,-72,-67
43,36,96,-6,-73,-87
44,56,95,-26,-72,-86
24,57,96,-46,-52,-106
44,77,95,-26,-53,-105
24,57,94,-27,-54,-104
25,37,93,-28,-74,-103
45,36,92,-48,-94,-102
46,35,91,-28,-74,-101
66,34,90,-29,-75,-101
86,14,70,-49,-74,-81
87,15,71,-50,-54,-82
86,35,72,-30,-34,-62
87,34,92,-10,-14,-63
67,54,91,-11,-15,-83
68,34,92,-10,-16,-82
48,54,93,-11,-36,-102
28,34,92,-10,-56,-101
29,14,72,10,-55,-81
49,34,73,30,-35,-82
48,14,74,31,-15,-102
47,15,94,32,-16,-102
67,35,95,33,-17,-82
68,36,96,13,-37,-62
67,37,76,-7,-57,-82
68,17,77,-27,-58,-62
67,37,78,-7,-38,-63
68,36,79,13,-39,-62
67,35,78,14,-59,-61
66,36,79,15,-58,-81
86,35,78,-5,-78,-101
85,34,79,-25,-98,-81
65,54,59,-24,-78,-101
64,53,58,-44,-77,-101
63,54,57,-45,-76,-81
62,53,56,-65,-96,-61
61,54,36,-66,-95,-81
41,53,56,-86,-75,-101
42,52,57,-87,-76,-81
43,72,56,-88,-96,-61
23,73,57,-68,-76,-62
43,93,77,-67,-96,-82
23,94,78,-87,-116,-83
43,95,77,-67,-96,-103
23,94,78,-47,-97,-102
43,93,58,-27,-77,-82
44,73,57,-28,-78,-62
45,72,58,-29,-79,-82
25,92,38,-30,-59,-62
26,72,37,-10,-39,-63
46,92,36,-11,-19,-83
47,72,37,-12,-18,-103
48,92,38,-13,-38,-83
68,91,18,-33,-18,-63
69,111,19,-13,-17,-83
68,112,39,-33,-16,-63
67,112,38,-13,-15,-83
87,92,39,-14,-35,-63
86,91,38,6,-55,-83
85,71,37,26,-75,-82
84,51,57,6,-55,-81
64,52,56,-14,-54,-101
63,32,55,-13,-53,-81
83,31,54,-12,-52,-61
82,51,55,-32,-51,-41
81,71,54,-12,-31,-42
82,70,55,-13,-11,-43
81,69,75,-33,-10,-63
80,68,55,-13,-30,-83
81,67,54,7,-29,-84
82,87,55,27,-9,-104
81,86,75,28,-8,-103
61,66,74,8,-28,-83
62,65,75,-12,-27,-103
